,n_components,Score in test,Training Time,Best Parameters,Best Score in CV
0,10,0.581527873349057,0.00561833381652832,"{'regressor__fourier_random_features__gamma': 0.010416666666666666, 'regressor__ridge__alpha': 1.0}",0.7381596077227766
1,10,0.7295575009021886,0.002377033233642578,"{'regressor__fourier_random_features__gamma': 0.0006510416666666666, 'regressor__ridge__alpha': 0.01}",0.7090408456943151
2,10,0.5642090656299339,0.0027799606323242188,"{'regressor__fourier_random_features__gamma': 0.020833333333333332, 'regressor__ridge__alpha': 0.001}",0.6998539978769215
3,10,0.5578942930720543,0.002532958984375,"{'regressor__fourier_random_features__gamma': 0.0026041666666666665, 'regressor__ridge__alpha': 0.01}",0.7368915662815831
4,20,0.7276628474595344,0.0032091140747070312,"{'regressor__fourier_random_features__gamma': 0.005208333333333333, 'regressor__ridge__alpha': 1.0}",0.8182596318462564
5,20,0.8260851084952374,0.0032567977905273438,"{'regressor__fourier_random_features__gamma': 0.0003255208333333333, 'regressor__ridge__alpha': 0.001}",0.8033414493417974
6,20,0.7760531349983364,0.003932952880859375,"{'regressor__fourier_random_features__gamma': 0.005208333333333333, 'regressor__ridge__alpha': 0.1}",0.8100417522907779
7,20,0.6482108702669265,0.0030050277709960938,"{'regressor__fourier_random_features__gamma': 0.0003255208333333333, 'regressor__ridge__alpha': 0.001}",0.832807720944918
8,50,0.9048253552802296,0.00718998908996582,"{'regressor__fourier_random_features__gamma': 0.010416666666666666, 'regressor__ridge__alpha': 0.1}",0.8892698183499428
9,50,0.9207700904478259,0.005325794219970703,"{'regressor__fourier_random_features__gamma': 0.010416666666666666, 'regressor__ridge__alpha': 0.001}",0.8835696257783507
10,50,0.8782297717499691,0.005587100982666016,"{'regressor__fourier_random_features__gamma': 0.010416666666666666, 'regressor__ridge__alpha': 0.1}",0.8932321001739447
11,50,0.7639363715331439,0.0055658817291259766,"{'regressor__fourier_random_features__gamma': 0.010416666666666666, 'regressor__ridge__alpha': 0.001}",0.8931822883332347
12,100,0.8996776658475966,0.07656431198120117,"{'regressor__fourier_random_features__gamma': 0.041666666666666664, 'regressor__ridge__alpha': 0.1}",0.9156956833462955
13,100,0.9514239636469001,0.12366485595703125,"{'regressor__fourier_random_features__gamma': 0.010416666666666666, 'regressor__ridge__alpha': 0.001}",0.9305864591752536
14,100,0.9346575387817123,0.1257460117340088,"{'regressor__fourier_random_features__gamma': 0.020833333333333332, 'regressor__ridge__alpha': 0.001}",0.9403011633557986
15,100,0.8863601199918375,0.10855984687805176,"{'regressor__fourier_random_features__gamma': 0.005208333333333333, 'regressor__ridge__alpha': 0.01}",0.9346179447672937
16,200,0.9633999879679978,0.2934260368347168,"{'regressor__fourier_random_features__gamma': 0.010416666666666666, 'regressor__ridge__alpha': 0.01}",0.9497676407626598
17,200,0.9648890313359118,0.06991434097290039,"{'regressor__fourier_random_features__gamma': 0.010416666666666666, 'regressor__ridge__alpha': 0.01}",0.9449606033758988
18,200,0.9455764765966885,0.21029210090637207,"{'regressor__fourier_random_features__gamma': 0.020833333333333332, 'regressor__ridge__alpha': 0.01}",0.9483787273381435
19,200,0.5338333602492381,0.17444825172424316,"{'regressor__fourier_random_features__gamma': 0.0026041666666666665, 'regressor__ridge__alpha': 0.001}",0.961119222580711
20,500,0.9708401559658939,0.33647799491882324,"{'regressor__fourier_random_features__gamma': 0.010416666666666666, 'regressor__ridge__alpha': 0.01}",0.9588866803443887
21,500,0.9727033424513094,0.3561370372772217,"{'regressor__fourier_random_features__gamma': 0.010416666666666666, 'regressor__ridge__alpha': 0.01}",0.954691403013413
22,500,0.9536106007038235,0.3632199764251709,"{'regressor__fourier_random_features__gamma': 0.010416666666666666, 'regressor__ridge__alpha': 0.01}",0.9620853648032052
23,500,0.8435470139948859,0.37179112434387207,"{'regressor__fourier_random_features__gamma': 0.0026041666666666665, 'regressor__ridge__alpha': 0.001}",0.9633379748674131
24,1000,0.9730976735109769,0.45618510246276855,"{'regressor__fourier_random_features__gamma': 0.010416666666666666, 'regressor__ridge__alpha': 0.01}",0.9615861659667845
25,1000,0.9726596871108395,0.43718576431274414,"{'regressor__fourier_random_features__gamma': 0.010416666666666666, 'regressor__ridge__alpha': 0.01}",0.9619117397091631
26,1000,0.962471372316067,0.47323012351989746,"{'regressor__fourier_random_features__gamma': 0.010416666666666666, 'regressor__ridge__alpha': 0.01}",0.9643489051692731
27,1000,0.9026298960334882,0.4113919734954834,"{'regressor__fourier_random_features__gamma': 0.005208333333333333, 'regressor__ridge__alpha': 0.001}",0.9644189425382355
