,percent,n_components,Score in test,Training Time,Best Parameters,Best Score in CV,cv_mean_test_score,cv_std_test_score,cv_mean_fit_time,cv_std_fit_time
0,1,3,0.28050605365878556,0.004042148590087891,"{'regressor__nystroem__gamma': 0.0006905339660024879, 'regressor__svm__C': 100.0}",0.33475651734701173,0.33475651734701173,0.1722293892812169,0.0029496192932128907,0.00032080952669487654
1,2,6,0.4711701630751711,0.0031280517578125,"{'regressor__nystroem__gamma': 0.0078125, 'regressor__svm__C': 3.1622776601683795}",0.46259052906867026,0.46259052906867026,0.11919378259469404,0.0026003360748291016,0.00012526491271873944
2,4,13,0.7256278041141523,0.004338979721069336,"{'regressor__nystroem__gamma': 0.0006905339660024879, 'regressor__svm__C': 100.0}",0.7651772865491159,0.7651772865491159,0.04614503893021582,0.003412151336669922,0.00018159926081541991
3,5,16,0.761624065492594,0.0034890174865722656,"{'regressor__nystroem__gamma': 0.0078125, 'regressor__svm__C': 3.1622776601683795}",0.7529077960968567,0.7529077960968567,0.05611306794435891,0.0028869152069091798,5.716014703505926e-05
4,7,23,0.7509575715973982,0.008499860763549805,"{'regressor__nystroem__gamma': 0.0078125, 'regressor__svm__C': 100.0}",0.802903855047826,0.802903855047826,0.039836187092053964,0.006896686553955078,0.00011659145345473736
5,9,30,0.7824332013688423,0.004648923873901367,"{'regressor__nystroem__gamma': 0.0078125, 'regressor__svm__C': 3.1622776601683795}",0.7877451154246355,0.7877451154246355,0.027176153508189794,0.003304576873779297,9.557660528370759e-05
6,10,33,0.7669733072349212,0.028535127639770508,"{'regressor__nystroem__gamma': 0.0006905339660024879, 'regressor__svm__C': 100.0}",0.7984746952442372,0.7984746952442372,0.032726381696248,0.016985607147216798,0.01784243470613191
7,12,40,0.7708915670295493,0.03217792510986328,"{'regressor__nystroem__gamma': 0.0006905339660024879, 'regressor__svm__C': 100.0}",0.8083348186539251,0.8083348186539251,0.025420761989452857,0.0066317558288574215,0.004214041495688497
8,13,43,0.7655716622530426,0.07290339469909668,"{'regressor__nystroem__gamma': 0.0006905339660024879, 'regressor__svm__C': 100.0}",0.8088865198235782,0.8088865198235782,0.026432731032111256,0.023346662521362305,0.012753093965780019
9,15,50,0.7815869172952947,0.12432408332824707,"{'regressor__nystroem__gamma': 0.0078125, 'regressor__svm__C': 3.1622776601683795}",0.8020561666837394,0.8020561666837394,0.029360521644296173,0.006581735610961914,0.005584291522306173
10,17,57,0.7727410885711273,0.18993687629699707,"{'regressor__nystroem__gamma': 0.0006905339660024879, 'regressor__svm__C': 100.0}",0.8001794954901864,0.8001794954901864,0.038312113929606456,0.013028383255004883,0.011025193177212058
11,18,60,0.7754330715181023,0.11116576194763184,"{'regressor__nystroem__gamma': 0.0006905339660024879, 'regressor__svm__C': 100.0}",0.8020651945094368,0.8020651945094368,0.0381348850659912,0.008656692504882813,0.0075622454081094425
12,20,67,0.7734887223140203,0.17389988899230957,"{'regressor__nystroem__gamma': 0.0006905339660024879, 'regressor__svm__C': 100.0}",0.8016060822028166,0.8016060822028166,0.03670042989888133,0.014379739761352539,0.007773637583679515
13,21,70,0.7761158955066169,0.20679712295532227,"{'regressor__nystroem__gamma': 0.0006905339660024879, 'regressor__svm__C': 100.0}",0.8004573259188087,0.8004573259188087,0.038302689648633405,0.007207202911376953,0.0024512122216026238
14,23,77,0.7826937784518501,0.17580175399780273,"{'regressor__nystroem__gamma': 0.0078125, 'regressor__svm__C': 3.1622776601683795}",0.8017205859099918,0.8017205859099918,0.03201062111899099,0.011012935638427734,0.007533598846323798
15,25,84,0.7744003637836339,0.1673448085784912,"{'regressor__nystroem__gamma': 0.0006905339660024879, 'regressor__svm__C': 100.0}",0.7996592065880214,0.7996592065880214,0.03868022718408226,0.01169123649597168,0.006369314768532413
