percent,n_components,Mean Score in test,Std Score in test,Mean Training Time,Std Training Time,Mean Best Score in CV,Std Best Score in CV,cv_mean_test_score,cv_std_test_score
1,41,0.5719715659769928,0.029699672335816003,0.028557121753692627,0.0007116843981986772,0.569373083763263,0.008187700874057846,0.569373083763263,0.02691578743050101
2,83,0.5730822712670431,0.024481354147939102,0.05254405736923218,0.012777694820491728,0.5720186887391058,0.008538586299256,0.5720186887391058,0.02475364097566305
4,167,0.56952379292565,0.023914706057190323,0.10628759860992432,0.037752751565271664,0.5713998294754264,0.009200310441714802,0.5713998294754264,0.0252210795980419
5,208,0.5708458449645195,0.025702237355011086,0.12937206029891968,0.031011307720202042,0.5706090066516758,0.010059294696079489,0.5706090066516758,0.025939920425070834
7,292,0.5708024512169225,0.0252771960127873,0.1645740270614624,0.0424305029150994,0.5715006336643595,0.008790079929885565,0.5715006336643595,0.026488177938946235
9,375,0.5714390457362071,0.026646801206331408,0.2477831244468689,0.015450338999982606,0.5707598879476015,0.01005148919103377,0.5707598879476015,0.02677426200775225
10,417,0.5693741807082576,0.02652265177881499,0.27002018690109253,0.03075357265418398,0.5710456939997313,0.010552258563854717,0.5710456939997313,0.02502571634014863
12,501,0.5702839201955251,0.026007344628717427,0.3096665143966675,0.0107782236484739,0.5710064851414524,0.01053790326858348,0.5710064851414524,0.025366080102135896
13,543,0.5700056705352692,0.02616455215184716,0.3453640937805176,0.004914624119265024,0.5715174220129329,0.0110170954214965,0.5715174220129329,0.025092108067932273
15,626,0.5698016628027153,0.026272396054270078,0.4050166606903076,0.03489903099237416,0.571009636551808,0.01051339715115177,0.571009636551808,0.025611736901538923
17,710,0.5696571340390699,0.02635642142949456,0.47174686193466187,0.04904916379979408,0.5706636765791806,0.010252931627276526,0.5706636765791806,0.025582547070746586
18,751,0.5694897298789574,0.02652931295009271,0.5030111074447632,0.03293334725362451,0.5711347164411895,0.010706321134852878,0.5711347164411895,0.025386620186846853
20,835,0.5695685735318619,0.02640818454273174,0.6309075355529785,0.03499978223347636,0.5708725207920794,0.010657717140337322,0.5708725207920794,0.025569826782012955
21,877,0.5695512712002608,0.026418285662087593,0.6839973330497742,0.05012506665003256,0.5710043058466812,0.010521084363802488,0.5710043058466812,0.025317906101804965
23,960,0.5693894140723784,0.026517363075242283,0.8416644930839539,0.04489720923169319,0.5710899713005054,0.010810065399242818,0.5710899713005054,0.02561092103183987
25,1044,0.5690923185181892,0.02669868982373513,0.9019913077354431,0.017063248411157497,0.5712920002167265,0.010821987963882451,0.5712920002167265,0.025451910599159102
