n-components,fit-time-mean,fit-time-std,transform-time-mean,transform-time-std,training-time-mean,training-time-std,prediction-time-mean,prediction-time-std,score-mean,score-std
27,0.0002100070317586263,0.00013685254823564432,0.0002100070317586263,3.501342770695862e-05,0.0012943347295125325,0.00015439074248580753,2.8133392333984375e-05,1.6791169034632692e-06,0.8015873015873015,0.00745628322237447
44,0.00012505054473876953,6.314717597078811e-06,0.00012505054473876953,1.9966897668946044e-05,0.0017107725143432617,0.000205017895396546,3.723303476969401e-05,5.32141865444036e-06,0.8059163059163059,0.006372121837177383
62,0.00012536843617757162,3.9821375015858935e-06,0.00012536843617757162,3.079512298143614e-05,0.0024486382802327475,0.0003238049319007459,4.192193349202474e-05,1.1878334879757725e-05,0.8015873015873015,0.00840168925137642
80,0.00012858708699544272,5.90136153403504e-06,0.00012858708699544272,2.9703931516845745e-05,0.003034234046936035,0.00025819297822899187,3.723303476969401e-05,2.6092042462973466e-06,0.8015873015873015,0.005060801707575812
97,0.0001327991485595703,8.57776902075533e-06,0.0001327991485595703,3.3805955400467994e-05,0.0032361745834350586,0.00031215530982528576,4.61737314860026e-05,1.7411195890746464e-05,0.8080808080808081,0.008941952891676602
115,0.00013490517934163412,5.136615642089484e-06,0.00013490517934163412,1.8303964345616552e-05,0.004047393798828125,0.0003690455609621178,4.9392382303873696e-05,2.4421519702728188e-05,0.8059163059163059,0.010395621156899175
132,0.00013947486877441406,7.407109279904807e-06,0.00013947486877441406,3.880570304731154e-05,0.004200100898742676,0.00023343926999545001,3.9577484130859375e-05,2.9355514472239276e-06,0.8044733044733045,0.005060801707575806
150,0.00013951460520426431,1.2288776021511698e-06,0.00013951460520426431,3.3252141588415566e-05,0.0051653385162353516,0.00034846527423904294,4.1484832763671875e-05,1.913299813054932e-06,0.8044733044733046,0.00925097860018737
168,0.00014332930246988931,5.022470956590782e-06,0.00014332930246988931,3.490847510871087e-05,0.005810697873433431,0.0007145207668818166,4.247824350992838e-05,2.9448957430664013e-06,0.8044733044733045,0.006935419821470649
185,0.00017464160919189453,7.121810790641866e-05,0.00017464160919189453,0.0007546174755075126,0.0062105655670166016,0.0007363859547631446,5.1856040954589844e-05,2.4597472756617787e-05,0.8037518037518038,0.0065175121446673645
203,0.0001499652862548828,5.930826889318891e-06,0.0001499652862548828,4.6548930330044836e-05,0.006924271583557129,0.00044728349127980734,4.303455352783203e-05,9.625734919636893e-07,0.8023088023088022,0.008941952891676598
220,0.00015993913014729819,1.510935617583186e-05,0.00015993913014729819,0.00017648081856541406,0.007192214330037435,0.0005590625537157093,4.506111145019531e-05,1.7126355167453742e-06,0.8015873015873015,0.006372121837177355
238,0.00015421708424886069,2.113290784968032e-06,0.00015421708424886069,3.4814228918578404e-05,0.008213400840759277,0.001093949606767818,4.8836072285970054e-05,5.051811584755919e-06,0.8015873015873015,0.0074562832223744714
256,0.00015934308369954428,3.4008441536691663e-06,0.00015934308369954428,6.559167670463055e-05,0.008087356885274252,0.0010266562521128427,9.55661137898763e-05,8.819868824215684e-05,0.797979797979798,0.005242684595839767
273,0.0001668532689412435,1.2208723035444046e-05,0.0001668532689412435,8.467094940256006e-05,0.009110609690348307,0.000970292822983646,0.0001312891642252604,0.00016976103786040865,0.797979797979798,0.005914545896657804
291,0.00017189979553222656,1.2707508973035724e-05,0.00017189979553222656,0.00017616109756410128,0.010157903035481771,0.0006292691663895704,5.38031260172526e-05,7.624425859585734e-06,0.8037518037518038,0.005242684595839811
308,0.00017996629079182944,2.4432224295881465e-05,0.00017996629079182944,0.0002225721227760685,0.0102615753809611,0.0013095654032751391,9.74734624226888e-05,9.812799157214861e-05,0.7965367965367965,0.003871979181817786
326,0.0001914501190185547,4.491644044453877e-05,0.0001914501190185547,0.0005898907110356156,0.011013269424438477,0.0009370658805644228,6.671746571858724e-05,2.1351134766079284e-05,0.8015873015873015,0.006935419821470621
343,0.00023766358693440756,0.00014865113844259934,0.00023766358693440756,0.00011739111207909461,0.012148022651672363,0.0009141114674771132,5.7975451151529946e-05,6.550945463006189e-06,0.8001443001443002,0.004256242771645815
361,0.00019697348276774088,1.6313418514888355e-05,0.00019697348276774088,0.0002986934532286451,0.011479894320170084,0.0011098596683192078,0.00012858708699544272,0.00014426547790700314,0.7994227994227994,0.0035346172334533655
379,0.0001948674519856771,1.4616180291852798e-05,0.0001948674519856771,0.0004985625325168757,0.013648112614949545,0.0016012284048752515,6.445248921712239e-05,1.0686543784246648e-05,0.8001443001443002,0.006372121837177388
396,0.00024068355560302734,9.674775062530828e-05,0.00024068355560302734,0.0001576517262037749,0.013767838478088379,0.0016741649050298491,6.528695424397786e-05,6.573467291875542e-06,0.8008658008658008,0.004742186645066395
414,0.0002645254135131836,0.000141827655971824,0.0002645254135131836,0.0008856437980868926,0.013306180636088053,0.0013058461378821916,7.41879145304362e-05,1.9262932665068263e-05,0.7965367965367965,0.0047421866450663794
431,0.0003139177958170573,0.00017714424483973766,0.0003139177958170573,0.0003316726081444504,0.014633814493815104,0.001988885069809964,8.594989776611328e-05,5.564400543640192e-05,0.7994227994227994,0.003534617233453351
449,0.00020372867584228516,2.6715118294832142e-05,0.00020372867584228516,0.00030383910374614663,0.013846357663472494,0.0014791188385855163,8.360544840494792e-05,3.5798902289675286e-05,0.7994227994227995,0.00851248554329154
467,0.0003093878428141276,0.0001808164156605073,0.0003093878428141276,0.0007450334036244199,0.016247351964314777,0.001422055370112892,7.196267445882161e-05,1.881931748957761e-05,0.8001443001443002,0.003258756072333704
484,0.00021509329477945963,2.2537513782043028e-05,0.00021509329477945963,0.0011547442274482387,0.016838749249776203,0.00229756263181135,7.13666280110677e-05,1.4100734025312004e-05,0.797979797979798,0.0065175121446673515
502,0.0002828041712443034,0.00014908810877252906,0.0002828041712443034,0.0009695975955376862,0.015665332476298015,0.0014203686302945466,9.13540522257487e-05,3.081025529772665e-05,0.7958152958152959,0.0074562832223744905
519,0.00023253758748372397,4.571166698120719e-05,0.00023253758748372397,0.0007532458906699785,0.01715401808420817,0.0021315432935044287,7.132689158121745e-05,8.096993549054318e-06,0.8001443001443002,0.0042562427716457815
537,0.0002922217051188151,0.00015513357892561177,0.0002922217051188151,0.0016806236861917055,0.01775964101155599,0.002249519275855114,7.967154184977214e-05,2.2739392015368345e-05,0.8015873015873015,0.0032587560723336883
