n-components,fit-time-mean,fit-time-std,transform-time-mean,transform-time-std,score-mean,score-std
321,0.0008426666259765625,0.0005752564691975387,0.028925418853759766,0.026886846523959115,0.5473765920436915,5.1026098471058336e-05
378,0.0006438732147216797,3.05322894757907e-05,0.021453046798706056,0.009571456313632083,0.5429009250414363,2.8798101677879618e-05
436,0.0007083892822265625,3.9432299555089526e-05,0.024076032638549804,0.006443011867011668,0.5428878508499013,4.0792542156897716e-05
493,0.0007585525512695312,3.0259723132169494e-05,0.03546342849731445,0.02448086656187285,0.5458104604618346,3.058332022377855e-05
551,0.0008442401885986328,6.09748232938763e-05,0.027830791473388673,0.002687651048179554,0.5455000698405464,2.212973979724938e-05
609,0.0008616447448730469,2.346031549488996e-05,0.04001617431640625,0.02386319260249205,0.5452569369259334,1.7969413091202656e-05
666,0.0009328842163085938,1.9495293462452278e-05,0.033721542358398436,0.0035045801277353195,0.5428945811700945,3.189016780030131e-05
724,0.0010223865509033203,5.960068689557155e-05,0.05775728225708008,0.05152639805323097,0.5428984353073188,3.579976595516989e-05
781,0.0010594367980957032,5.79228602775942e-05,0.03854374885559082,0.0039345373110402475,0.5447481057508899,2.4008252148581275e-05
839,0.0011084556579589843,8.11569278829714e-06,0.043320083618164064,0.007701105609008853,0.5445877950253453,1.721811947090353e-05
896,0.0011569023132324218,1.853204165960218e-05,0.0496006965637207,0.014767127947311984,0.5428937315531877,1.968629773258124e-05
954,0.001261138916015625,0.000109183293057312,0.052928829193115236,0.018105593003738114,0.5429107019076294,1.6585222775027295e-05
1011,0.001255369186401367,3.215231668835566e-05,0.05688719749450684,0.02080361729211178,0.5443152759903866,1.9957237549158592e-05
1069,0.0013125419616699218,1.5381601931608243e-05,0.06429409980773926,0.03330322885581071,0.5442357490467474,1.53167418388043e-05
1127,0.0014107227325439453,6.83970505857207e-05,0.0542665958404541,0.006000427159302606,0.5441720184646573,1.8789969588046566e-05
1184,0.0014182090759277343,1.8336233361241513e-05,0.07000231742858887,0.033741274363302605,0.542900973711372,2.691344655332566e-05
1242,0.0015062808990478516,3.0309369193259193e-05,0.0571537971496582,0.002263344902334275,0.54289059123518,3.5859061787941195e-05
1299,0.0016011714935302735,0.0001250929142474089,0.06591234207153321,0.013000243700305392,0.54400978212956,1.7354882813242214e-05
1357,0.0016009807586669922,1.688737494179228e-05,0.06888322830200196,0.01509008316798252,0.5439394919543036,1.3819378585153506e-05
1414,0.0016613006591796875,2.3670774801661735e-05,0.07629461288452148,0.02481590493723747,0.5428990783001215,1.7917915627484743e-05
1472,0.001787567138671875,4.8346267623915136e-05,0.07549738883972168,0.019088613348360952,0.5429114930639012,1.1765360060209953e-05
1529,0.001777315139770508,2.4136039640156758e-05,0.07693037986755372,0.018132529889066516,0.5438417908338348,1.758226526431647e-05
1587,0.0018879890441894532,8.569537861775191e-05,0.08503861427307129,0.02825573256473244,0.5438000316623685,1.4798511733608752e-05
1645,0.0019316673278808594,2.0871500675318056e-05,0.08279762268066407,0.018593997038419515,0.5437818584793563,2.3011389475081483e-05
1702,0.0019810676574707033,4.605997663272147e-05,0.08351058959960937,0.017696445377990803,0.5428954767905987,1.4492147419728691e-05
1760,0.0020281314849853516,2.8142786074113126e-05,0.10262618064880372,0.05467559877514769,0.5428916207211071,1.6046537892578828e-05
1817,0.0021039962768554686,3.301447415347301e-05,0.09093284606933594,0.02368382747586139,0.543698417453394,1.2902219092802058e-05
1875,0.002248048782348633,0.00013186767591243694,0.08548851013183593,0.005184317145200164,0.5436632209979073,1.804008302588006e-05
1932,0.002223491668701172,6.389528957146179e-05,0.11089949607849121,0.06015227156132012,0.5428994332929337,2.0717995714197077e-05
1990,0.0022648334503173827,4.110373642877973e-05,0.09383454322814941,0.01601819310587985,0.5429038895230913,8.021655700501392e-06
2048,0.002322959899902344,2.9009966992708508e-05,0.08874778747558594,0.0014120729812606696,0.5428973381950524,1.6317238762666783e-05
2105,0.0023915767669677734,7.513949797969328e-05,0.09407544136047363,0.0018659241501085139,0.5435808751978994,1.3949949946807376e-05
2163,0.002506875991821289,0.00017831594742090428,0.0946542739868164,0.001629916940208462,0.5435713780898507,1.5028456589668032e-05
2220,0.002648019790649414,0.0002233335438046414,0.09843144416809083,0.0031669578473463352,0.5428929053148338,1.468718690094175e-05
2278,0.0025815486907958983,4.786379902725535e-05,0.10183901786804199,0.0023377876941446385,0.5429014522699459,9.126887220213696e-06
2335,0.0026897430419921876,0.00010708187684686291,0.10131392478942872,0.00216769856526346,0.5435030694602081,1.5642919647858216e-05
2393,0.002811574935913086,0.0001603565327626864,0.10426540374755859,0.002122924918848762,0.5435004162522669,2.0359142883640757e-05
2450,0.0027635574340820314,0.00018142693590675508,0.10644116401672363,0.001550284994554945,0.5428830759785666,1.2265309897356187e-05
2508,0.002855825424194336,0.00017592491596569643,0.10845036506652832,0.0013183994846422374,0.5428825827825654,9.38709217234949e-06
2566,0.0028398990631103515,5.1348521061222446e-05,0.11292595863342285,0.0015877419839356577,0.5428970901143311,9.725402230633796e-06
